Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
390,4218.980,1.31,38.0,26.0,87.54,1979
391,4218.975,1.31,38.0,26.0,87.04,1979
392,4218.970,1.30,38.0,26.0,87.33,1985
393,4218.979,1.30,38.0,26.0,87.41,1979
394,4218.975,1.30,38.0,26.0,87.49,1985
395,4218.980,1.30,38.0,26.0,86.95,1979
396,4218.975,1.31,38.0,26.0,88.06,1985
397,4218.970,1.30,38.0,26.0,88.82,1985
398,4218.975,1.30,38.0,26.0,86.91,1985
399,4218.975,1.31,38.0,26.0,89.25,1991
400,4218.972,1.31,38.0,26.0,87.54,1991
401,4218.970,1.30,38.0,26.0,87.57,1985
402,4218.973,1.30,38.0,26.0,87.51,1985
403,4218.975,1.31,38.0,26.0,87.36,1985
404,4218.980,1.30,38.0,26.0,87.81,1991
405,4218.975,1.30,38.0,26.0,88.31,1985
406,4218.975,1.31,38.0,26.0,88.46,1985
407,4218.975,1.31,38.0,26.0,88.51,1991
408,4218.975,1.30,38.0,26.0,86.18,1973
409,4322.925,1.31,38.0,26.0,87.43,1979
410,4218.975,1.31,38.0,26.0,85.79,1973
411,4218.975,1.31,38.0,26.0,88.34,1973
412,4356.335,1.30,38.0,26.0,84.84,1979
413,4236.363,1.31,38.0,26.0,88.79,1985
414,4218.975,1.31,38.0,26.0,86.02,1979
415,4236.571,1.31,38.0,26.0,88.61,1979
416,4218.975,1.31,38.0,26.0,85.89,1985
417,4232.967,1.30,38.0,26.0,88.00,1979
418,4218.975,1.31,38.0,26.0,86.82,1979
419,4276.076,1.31,38.0,26.0,87.45,1973
420,4282.650,1.31,38.0,26.0,86.80,1979
421,4230.070,1.31,38.0,26.0,86.95,1973
422,4218.975,1.31,38.0,26.0,87.27,1973
423,4362.208,1.31,38.0,26.0,86.79,1973
424,4218.975,1.31,38.0,26.0,88.68,1985
425,4232.152,1.30,38.0,26.0,86.24,1979
426,4218.975,1.31,38.0,26.0,88.07,1979
427,4368.155,1.30,39.0,26.0,86.47,1991
428,4218.975,1.31,38.0,26.0,88.52,2020
429,4232.507,1.31,38.0,26.0,86.91,2027
430,4301.401,1.31,38.0,26.0,88.38,2020
431,4218.975,1.30,38.0,26.0,87.43,2014
432,4343.022,1.30,38.0,26.0,86.81,2027
433,4234.230,1.31,38.0,26.0,87.41,2014
434,4362.863,1.30,38.0,26.0,88.24,2014
435,4218.975,1.31,38.0,26.0,86.99,2014
436,4231.117,1.31,38.0,26.0,87.23,2020
437,4218.975,1.31,38.0,26.0,87.84,2020
438,4218.975,1.31,38.0,26.0,86.96,2020
439,4375.236,1.31,39.0,26.0,88.75,2027
440,4233.507,1.31,38.0,26.0,87.95,2020
441,4218.975,1.31,38.0,26.0,89.02,2020
442,4222.850,1.31,38.0,26.0,86.27,2020
443,4236.100,1.31,39.0,26.0,88.73,2020
444,4230.615,1.31,39.0,26.0,86.85,2020
445,4376.181,1.31,38.0,26.0,87.21,2020
446,4218.976,1.31,38.0,26.0,87.36,2020
447,4218.975,1.30,39.0,26.0,86.94,2027
448,4218.973,1.30,38.0,26.0,87.29,2020
449,4218.969,1.31,38.0,26.0,87.05,2027
450,4218.976,1.31,38.0,26.0,88.60,2027
451,4218.972,1.31,38.0,26.0,87.37,2027
452,4218.943,1.30,38.0,26.0,88.88,2027
453,4218.975,1.31,38.0,26.0,85.79,2027
454,4218.980,1.31,38.0,26.0,89.13,2020
455,4218.975,1.31,38.0,26.0,86.63,2020
456,4218.975,1.31,38.0,26.0,87.55,2014
457,4218.971,1.31,38.0,26.0,87.03,2014
458,4218.975,1.31,38.0,26.0,86.54,2014
459,4218.976,1.31,38.0,26.0,87.94,2014
460,4218.971,1.31,38.0,26.0,87.56,2020
461,4218.975,1.30,38.0,26.0,88.69,2020
462,4218.975,1.31,38.0,26.0,87.60,2014
463,4218.977,1.30,38.0,26.0,88.84,2027
464,4218.979,1.30,38.0,26.0,85.60,2014
465,4218.975,1.30,38.0,26.0,89.65,2020
466,4218.975,1.31,38.0,26.0,86.25,2020
467,4218.975,1.31,38.0,26.0,88.12,2020
468,4248.203,1.31,38.0,26.0,87.01,2014
469,4389.769,1.31,38.0,26.0,86.32,2020
470,4218.975,1.31,38.0,26.0,88.03,2020
471,4240.363,1.30,38.0,26.0,87.59,2020
472,4218.975,1.31,38.0,26.0,88.64,2020
473,4218.975,1.31,38.0,26.0,87.50,2027
474,4264.901,1.32,38.0,26.0,88.82,2020
475,4390.920,1.31,38.0,26.0,86.28,2014
476,4218.975,1.31,38.0,26.0,88.66,2014
477,4218.975,1.31,38.0,26.0,87.00,2027
478,4251.582,1.31,38.0,26.0,88.71,2020
479,4271.882,1.31,38.0,26.0,87.49,2027
480,4218.975,1.31,38.0,26.0,87.83,2020
481,4250.920,1.31,38.0,26.0,87.92,2027
482,4231.252,1.31,38.0,26.0,86.75,2027
483,4218.975,1.31,38.0,26.0,88.84,2020
484,4354.326,1.31,38.0,26.0,87.53,2020
485,4237.289,1.31,38.0,26.0,88.64,2020
486,4218.975,1.31,38.0,26.0,86.26,2020
487,4218.975,1.31,38.0,26.0,87.79,2020
488,4218.975,1.30,38.0,26.0,86.43,2027
489,4227.297,1.31,39.0,26.0,88.43,2020
490,4218.975,1.31,38.0,26.0,87.42,2020
491,4372.705,1.31,39.0,26.0,88.60,2027
492,4253.929,1.31,39.0,26.0,88.67,2027
493,4389.455,1.31,39.0,26.0,86.66,2027
494,4218.975,1.31,38.0,26.0,86.80,2027
495,4247.582,1.31,38.0,26.0,85.51,2020
496,4218.975,1.30,38.0,26.0,86.94,2014
497,4218.975,1.31,39.0,26.0,86.29,2020
498,4218.975,1.31,39.0,26.0,88.66,2020
499,4270.509,1.31,38.0,26.0,86.83,2014
500,4218.975,1.31,38.0,26.0,88.74,2020
501,4218.975,1.31,38.0,26.0,88.27,2020
502,4306.671,1.31,38.0,26.0,88.96,2014
503,4242.346,1.31,38.0,26.0,88.29,2020
504,4286.864,1.31,38.0,26.0,86.96,2020
505,4334.204,1.31,38.0,26.0,88.04,2020
506,4385.483,1.31,38.0,26.0,87.47,2020
507,4263.010,1.31,38.0,26.0,87.62,2020
508,4218.975,1.31,38.0,26.0,87.67,2027
